1	coronavirus origin	812339	395103	470009	969497	742374	920586	972303	968772	837899	679346	566583	967111	780271	974842	601663	119558	980579	861172	4368	791602
2	coronavirus response to weather changes	812339	395103	546536	431291	114353	401040	900784	584114	220301	566583	226352	227818	948468	530925	565345	756326	235658	8490	1144855	601604
3	coronavirus immunity	812339	566583	70274	346060	639439	395103	396231	396237	537423	798546	844309	791602	407267	576798	488390	852043	912859	95886	393078	565944
4	how do people die from the coronavirus	812339	337920	207677	221827	589886	228052	210138	566583	395103	292058	301730	461251	216638	234621	214330	495955	1178504	292098	587036	576948
5	animal models of covid 19	866264	407267	867604	537254	553773	282350	812339	968434	478536	183382	429505	152486	45773	287205	867640	537272	572260	152516	910276	554759
6	coronavirus test rapid testing	812339	395103	566583	1073930	537269	428588	679350	456770	902999	871713	892712	224328	835234	902930	570279	825062	903132	870922	76028	913709
7	serological tests for coronavirus	812339	566583	395103	456770	902999	679350	537269	570279	871713	428588	913039	877946	870922	574144	903040	835234	468983	237927	76028	389142
8	coronavirus under reporting	812339	395103	566583	407267	126434	152488	557644	95886	488390	237927	861597	635118	791602	389142	844309	488920	576798	236135	670332	679346
9	coronavirus in canada	812339	395103	566583	407267	95886	565944	1011069	576798	537441	182792	488390	841757	844309	889531	679346	537411	152488	838737	791602	727314
10	coronavirus social distancing impact	812339	566583	395103	407267	235658	635118	874114	171795	1011835	246431	859124	389142	251724	636978	657599	286547	74519	203841	257150	211959
11	coronavirus hospital rationing	395103	812339	885805	566583	37252	623624	291711	239984	407267	205569	199507	813286	95886	452561	901762	1143457	237927	491065	199987	214442
12	coronavirus quarantine	812339	697007	788929	484507	484505	126091	123827	395103	788927	817771	407267	395889	259369	271797	566583	565944	573963	395189	6635	537439
13	how does coronavirus spread	812339	226574	227565	236779	395103	207255	1022666	236780	1181540	847483	226464	566583	237974	1060420	183574	207769	226450	829664	210157	191037
14	coronavirus super spreaders	812339	395103	457544	226574	847483	537272	236779	566583	1022666	173785	635115	189838	913360	207222	844309	832385	407267	791602	393078	236780
15	coronavirus outside body	812339	566583	395103	537411	537441	488390	495955	152484	407267	884886	670332	241512	54511	470599	669886	74519	68223	1011069	984723	861155
16	how long does coronavirus survive on surfaces	242655	242654	252048	242672	241934	259020	242041	242020	242034	1180143	251995	247004	247002	250965	812339	1180476	241512	395103	242348	242600
17	coronavirus clinical trials	812339	395103	566583	173785	283369	913360	407267	22925	393078	635118	920239	929541	207222	456770	734977	677794	95886	199507	537272	791602
18	masks prevent coronavirus	528646	536256	869192	23563	812339	885588	869191	428308	685178	1156466	852648	175785	580260	1162577	557625	400697	1173041	80914	842116	367645
19	what alcohol sanitizer kills coronavirus	812339	15252	599891	457526	832404	20896	877224	956607	51682	190632	596696	387284	207222	877315	162823	1140050	154805	554091	848768	162803
20	coronavirus and ace inhibitors	812339	10512	710869	630968	632244	173785	1005413	659008	207222	707419	566583	20896	913360	20690	283369	95718	920239	395103	554091	393078
21	coronavirus mortality	812339	395103	221827	566583	407267	621106	773607	821027	393078	456179	583310	461251	833615	337920	247002	734977	251724	292058	657599	589886
22	coronavirus heart impacts	812339	566583	537411	635118	635117	395103	666339	1005590	861155	734981	734977	495955	221827	1181549	407267	173785	11178	488390	165079	825810
23	coronavirus hypertension	812339	566583	537411	790710	1154677	734977	861155	395103	412730	506638	635118	622649	719882	389951	1005590	756706	468983	756708	756710	173785
24	coronavirus diabetes	812339	142792	566583	816014	705544	142779	395103	68849	718230	142788	152484	739131	734977	66421	557634	142803	393078	142746	593376	621372
25	coronavirus biomarkers	812339	566583	556107	395103	635118	555604	456770	734977	555603	679348	393078	236135	517672	571737	679346	559310	237927	877946	537269	679350
26	coronavirus early symptoms	566583	812339	395103	558053	497969	396165	558051	574144	177257	1183337	2876	861158	396158	507893	389142	177213	507856	507584	177236	509038
27	coronavirus asymptomatic	812339	566583	27766	395103	734977	861155	705544	537411	635118	403293	734985	88990	152484	791602	576798	593376	734981	844309	734970	407267
28	coronavirus hydroxychloroquine	812339	1070476	756533	916819	566583	753993	395103	95886	173785	672713	687174	406226	430634	846008	435102	913360	632244	753999	1011069	916821
29	coronavirus drug repurposing	812339	395103	173785	74519	656113	257150	791385	913360	225563	207222	584856	861160	430634	22925	426499	419161	8194	847483	656106	566583
30	coronavirus remdesivir	812339	395103	584856	790610	646887	653205	566583	823428	791602	430634	172709	487271	844309	790580	537411	1174810	173785	524337	913360	697814
31	difference between coronavirus and flu	146823	812339	149402	817202	931532	931531	147323	818553	149629	146824	147621	739470	150438	426552	141553	146102	759100	1178026	683605	816871
32	coronavirus subtypes	812339	566583	529574	528081	395103	530407	150541	298900	565944	528090	528202	528091	915644	529350	525889	528203	846008	915129	910944	528137
33	coronavirus vaccine candidates	812339	526182	530338	537423	838737	871160	760606	576475	838739	870091	912854	694058	428643	899046	1022498	461766	1022495	428638	821714	659992
34	coronavirus recovery	812339	395103	566583	426499	828437	257150	734983	258035	74519	393078	407267	576798	218980	173785	383871	404694	95886	73348	376502	237927
35	coronavirus public datasets	812339	395889	395103	886587	566583	568651	972712	152488	407267	393078	286547	89341	236135	150945	440593	679346	537272	560477	604691	389568
36	sars cov 2 spike structure	564467	698899	883488	972303	423142	1170922	1003339	493032	793682	926736	793724	259472	798681	812339	845789	954353	997511	1166110	874147	423141
37	sars cov 2 phylogenetic analysis	972303	883488	423142	564467	1170922	1003339	926736	698899	793724	493032	362742	423141	968511	698903	900431	171160	482812	6273	997008	812339
38	covid inflammatory response	759076	759065	1004743	395826	392795	912903	622710	759066	759071	573783	639621	152364	631949	6299	235867	186510	1020992	846309	395845	759070
39	covid 19 cytokine storm	557461	812339	1148457	737163	401040	114925	119859	95886	631949	721200	1172943	1165125	6842	186510	396237	670332	781204	993633	737162	395826
40	coronavirus mutations	812339	566583	395103	140314	407265	527896	734977	1170095	562130	537411	774537	915128	92270	562131	635118	705544	920586	880291	691922	460742
41	covid 19 in african americans	12439	203817	468573	274682	937116	1030246	63675	292619	274627	600613	292621	970283	292598	417106	551378	95886	300151	600619	621141	1178450
42	vitamin d and covid 19	916886	195852	430983	582503	751823	149143	861391	173842	861445	173832	654868	1185658	1146424	751963	537799	621272	888845	861444	626606	429243
43	violence during pandemic	645120	1011835	471465	690512	816871	1022255	430906	573963	781204	947306	1082109	471466	562893	3571	152292	391018	657599	286547	203676	1173130
44	impact of masks on coronavirus transmission	812339	528646	395103	536256	23563	869192	885588	1060420	847483	1156466	6	1162577	400697	852648	80914	844309	566583	488920	575555	123718
45	coronavirus mental health impact	812339	566583	226880	15257	152527	670308	508199	207035	407267	395103	565517	171795	155084	670332	292428	473426	899888	524746	50786	288368
