1	coronavirus origin	0.838	0.6147	0.6002	0.597	0.5773	0.5675	0.5596	0.5535	0.5511	0.5493	0.5458	0.5414	0.5344	0.5317	0.5294	0.5267	0.5256	0.5191	0.517	0.516
2	coronavirus response to weather changes	0.6415	0.5862	0.5559	0.5528	0.5522	0.5428	0.5243	0.5237	0.5159	0.5147	0.513	0.5046	0.5044	0.4955	0.4921	0.4892	0.4871	0.4842	0.4828	0.4826
3	coronavirus immunity	0.8242	0.6095	0.5997	0.5964	0.5867	0.5832	0.5673	0.5662	0.5655	0.5608	0.5587	0.5538	0.5459	0.5456	0.5451	0.5451	0.544	0.5436	0.5429	0.5376
4	how do people die from the coronavirus	0.7064	0.6933	0.653	0.6359	0.5878	0.5621	0.5555	0.5547	0.5536	0.5495	0.5494	0.5459	0.5384	0.5343	0.5287	0.5274	0.5185	0.5185	0.5181	0.5179
5	animal models of covid 19	0.4709	0.4485	0.4483	0.4474	0.4373	0.435	0.4328	0.4267	0.4252	0.4239	0.4233	0.4216	0.4199	0.418	0.4177	0.4174	0.4168	0.4154	0.415	0.4145
6	coronavirus test rapid testing	0.6748	0.6338	0.5943	0.59	0.5839	0.5829	0.5825	0.5817	0.5771	0.5759	0.5666	0.5657	0.5635	0.5632	0.5481	0.543	0.5399	0.5392	0.5365	0.5301
7	serological tests for coronavirus	0.7261	0.7021	0.6124	0.5919	0.5881	0.5767	0.5643	0.562	0.5547	0.5546	0.5513	0.5461	0.5443	0.5382	0.5294	0.5216	0.5199	0.5199	0.5194	0.5172
8	coronavirus under reporting	0.744	0.5906	0.5895	0.5527	0.4988	0.4889	0.4811	0.4797	0.4773	0.4771	0.4718	0.4711	0.4697	0.4696	0.4675	0.4662	0.4653	0.4598	0.4592	0.456
9	coronavirus in canada	0.7899	0.6066	0.5805	0.54	0.5244	0.4987	0.4895	0.4891	0.4886	0.4863	0.4837	0.4772	0.4761	0.4743	0.4731	0.4726	0.4716	0.4714	0.4714	0.4714
10	coronavirus social distancing impact	0.62	0.5538	0.5537	0.4852	0.4634	0.4605	0.4561	0.4341	0.4331	0.4316	0.4283	0.4278	0.426	0.4221	0.4207	0.4193	0.4178	0.4118	0.4108	0.4104
11	coronavirus hospital rationing	0.6165	0.6088	0.5095	0.5067	0.4754	0.4717	0.4523	0.4467	0.4459	0.4446	0.4443	0.4408	0.4382	0.4375	0.4366	0.4365	0.4354	0.4347	0.4328	0.4309
12	coronavirus quarantine	0.7198	0.684	0.6824	0.6712	0.6602	0.6596	0.6488	0.6277	0.5715	0.5273	0.5213	0.5153	0.5022	0.5011	0.4971	0.4961	0.4955	0.4892	0.4892	0.4885
13	how does coronavirus spread	0.7522	0.6871	0.6141	0.5951	0.5835	0.5811	0.5797	0.578	0.5762	0.5742	0.5741	0.5584	0.5551	0.5438	0.5332	0.5313	0.5282	0.5236	0.5227	0.5224
14	coronavirus super spreaders	0.7024	0.5173	0.5058	0.4903	0.4886	0.4875	0.465	0.4646	0.4582	0.4581	0.4529	0.4474	0.4438	0.4432	0.4425	0.4422	0.4398	0.437	0.4341	0.432
15	coronavirus outside body	0.7621	0.5888	0.5716	0.5405	0.5271	0.5207	0.5178	0.5105	0.5097	0.5086	0.5071	0.504	0.4981	0.4946	0.4939	0.4936	0.4904	0.4896	0.4886	0.4876
16	how long does coronavirus survive on surfaces	0.7564	0.7179	0.7176	0.7153	0.707	0.6893	0.6776	0.6713	0.6632	0.6592	0.6373	0.6273	0.6265	0.6232	0.5927	0.5757	0.564	0.5636	0.562	0.5594
17	coronavirus clinical trials	0.7495	0.6074	0.5682	0.5318	0.5251	0.5136	0.4991	0.4768	0.4761	0.4752	0.4611	0.46	0.4553	0.454	0.4524	0.452	0.4477	0.4476	0.4465	0.4438
18	masks prevent coronavirus	0.669	0.6104	0.5949	0.5936	0.5898	0.5645	0.5627	0.5482	0.5384	0.5382	0.5237	0.5231	0.5225	0.5202	0.5164	0.5133	0.5114	0.5091	0.5047	0.4955
